skills,job_position_name
brand promotion campaign management field supervision merchandising promotional activities trade marketing,"Executive/ Senior Executive- Trade Marketing, Hygiene Products"
fast typing skill ieltsinternet browsing online work ability.,Business Development Executive
ios ios app developer ios application development ios development mobile apps developer ios native ios swift ios swift ui,Senior iOS Engineer
python r or java tensorflow pytorch scikit learn.,AI Engineer
maintenance and troubleshooting mechanical,Mechanical Engineer
autocad solidworks,Mechanical Designer
administration health safety and environment safety and security management,Asst. Manager/ Manger (Administrative)
asp.net mvc strong understanding of database design database administrator dba database management elasticsearch mongodb mysql database nosql database redis,Database Administrator (DBA)
cisco linux operation maintenance of server,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)"
auto cad 2d 3d civil 3d civil construction civil engineering,Project Coordinator (Civil)
ccna cisco certified network associate gpon hardware networking iig isp it enabled services olt and onu,Network Support Engineer
vat and tax,Executive - VAT
having cacc from reputed ca firm internal audit and compliance,Sr.Officer / Executive - Internal Audit
computer skill good communication skills mechanical engineering quick learner and hard working,Management Trainee - Mechanical
human resource management,HR Officer
ansible aws cloud cloud platform devops dockers and kubernetes java reactjs terraform,DevOps Engineer
azure big data data analytics etl tools power bi sql,Data Engineer
audit and inspection banking internal audit,Head of Internal Control & Compliance (ICC) - SEVP/DMD
autocad etabs microsoft office suite ms project,Civil Engineer
business analysis effective communication skills java rest api design soft skills software development,Data Science Engineer
hrm report human resource management ngo,"Manager- Human Resource Management (HRM)
"
corporate marketing facebook ads manager facebook campaign facebook marketing google ads google analytics market researc marketing search engine optimization seo,Marketing Officer
autocad communication and negotiation skills internet ms office,Site Engineer
